year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,co2_check
1990,1041271896195.66,1135185000,2308.792723,27.68620338,917.2706617825817,2.6588831871054e-11,83.39145282259355,2308.7927229999996
1991,1138752669458.5,1150780000,2439.954363,29.13833276,989.5485405190393,2.5587938049669618e-11,83.7369242467255,2439.954363
1992,1301589870245.13,1164970000,2562.75619,30.66642975,1117.2732948016944,2.3560747091727563e-11,83.56878224469544,2562.75619
1993,1482889338698.69,1178440000,2769.614442,32.98012441,1258.349460896346,2.2240448797711178e-11,83.97828969863488,2769.614442
1994,1676743149158.28,1191835000,2921.357668,35.00629416,1406.8584570500782,2.087755311692972e-11,83.4523544436787,2921.357668
1995,1861735071148.11,1204855000,3009.163414,35.93256416,1545.1942940421131,1.930057864669263e-11,83.74474475578312,3009.163414000001
1996,2047465483836.55,1217550000,3156.655036,37.95374554,1681.6274352893515,1.8536940348748687e-11,83.1711071223038,3156.6550359999997
1997,2237626840759.87,1230075000,3142.331461,38.16119292,1819.0978930226777,1.7054314966583495e-11,82.34363814536646,3142.331461
1998,2414864610327.86,1241935000,3139.807925,38.209437,1944.4371970577042,1.5822600089705403e-11,82.17362441116313,3139.807925
1999,2601702759078.63,1252735000,3268.474017,39.61323072,2076.8181291962223,1.5225886424484813e-11,82.50965542554971,3268.474016999999
2000,2825096197799.54,1262645000,3308.42236,40.92281008,2237.4429850033384,1.4485457207395156e-11,80.84543445409456,3308.42236
2001,3059936242478.58,1271850000,3469.506195,42.96631099,2405.89396743215,1.4041570668543355e-11,80.7494549813107,3469.506195
2002,3342778183071.46,1280400000,3791.210076,46.91656547,2610.7296025237893,1.403520153015102e-11,80.80749385681747,3791.210076
2003,3681006926650.74,1288400000,4475.911253,55.03977977,2857.0373538115027,1.495237060585468e-11,81.321387398422,4475.911253
2004,4053944733453.66,1296075000,5291.844481,64.27841921,3127.8627652363175,1.5855770967859137e-11,82.32692318881313,5291.844481
2005,4518455387849.41,1303720000,6048.951194,73.07484409,3465.817344099508,1.6172527516041377e-11,82.77747656293357,6048.951194
2006,5091154930758.42,1311020000,6629.974082,80.11200056,3883.354129424738,1.5735525956202998e-11,82.75881310733803,6629.974082
2007,5811552614974.09,1317885000,7182.29691,87.01715442,4409.757008368781,1.4973133719170147e-11,82.538862111414,7182.296909999999
2008,6373544042638.01,1324655000,7324.47493,89.5141405,4811.474718049612,1.4044641395927358e-11,81.8247808568301,7324.47493
2009,6972829250985.1,1331260000,7654.438134,93.69911071,5237.766665403527,1.3437746334712338e-11,81.69168390178844,7654.438133999999
2010,7711689202853.29,1337705000,8094.553654,99.82079367,5764.865349874068,1.2944089296683114e-11,81.09085648787749,8094.553653999999
2011,8441318020902.42,1345035000,8766.089758,108.0773006,6275.909564362578,1.2803367949457493e-11,81.1094439751394,8766.089758
2012,9104482675356.36,1354190000,8952.163673,111.4948629,6723.194437528234,1.2246150261979159e-11,80.29216270734568,8952.163673
2013,9812695262900.89,1363240000,9184.862515,115.4566783,7198.068764781617,1.176605154921197e-11,79.55245768576734,9184.862515
2014,10544908798424.0,1371860000,9202.264131,117.5599942,7686.577929543831,1.1148507440630502e-11,78.2771740813849,9202.264131
2015,11280814787468.9,1379860000,9148.0316,118.5729953,8175.33285077392,1.0511031120882756e-11,77.15105430924372,9148.0316
2016,12045152668727.3,1387790000,8998.667355,118.5026486,8679.377044601346,9.838202292584232e-12,75.93642388006506,8998.667355000001
2017,12875216222853.4,1396215000,9239.287354,122.826441,9221.514038205722,9.539757536808128e-12,75.22229968382784,9239.287354
2018,13745158275136.7,1402760000,9570.561394,128.4298388,9798.652852331617,9.343642046837234e-12,74.51976490373046,9570.561394
2019,14579283528148.4,1407745000,9890.945236,134.0469785,10356.480419499554,9.19434608986058e-12,73.78715541879968,9890.945236
2020,14920466234565.3,1411100000,10082.65729,137.9789752,10573.642005928212,9.247631610891143e-12,73.07386705391329,10082.65729
2021,16199162892908.6,1412360000,10470.89088,145.2345569,11469.570713492736,8.965559384774034e-12,72.09641495453208,10470.89088
2022,16706875253648.5,1412175000,10504.53398,146.5582271,11830.598370349639,8.77233024577676e-12,71.67481613183351,10504.53398
2023,17611526369126.6,1410710000,11007.45778,154.6842535,12484.157884417493,8.783125906177273e-12,71.1608165080617,11007.457780000002
2024,18488114837769.3,1408975000,11172.8456,158.883353,13121.676990556469,8.59381036921178e-12,70.32105874553139,11172.8456
