year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,co2_check,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,1041271896195.66,1135185000,2308.792723,27.68620338,917.2706617825817,2.6588831871054e-11,83.39145282259355,2308.7927229999996,,,,,,
1991,1138752669458.5,1150780000,2439.954363,29.13833276,989.5485405190393,2.5587938049669618e-11,83.7369242467255,2439.954363,1.364434008403495,7.584623066875559,-3.8370202637129065,0.4134210147282844,5.525457826294415,5.525457826294431
1992,1301589870245.13,1164970000,2562.75619,30.66642975,1117.2732948016944,2.3560747091727563e-11,83.56878224469544,2562.75619,1.2255362283361957,12.139761827848364,-8.253900205948078,-0.2009997891467737,4.910398061089703,4.910398061089708
1993,1482889338698.69,1178440000,2769.614442,32.98012441,1258.349460896346,2.2240448797711178e-11,83.97828969863488,2769.614442,1.1496194308346521,11.89097518184644,-5.766941952384911,0.4888277242087843,7.762480384504967,7.762480384504966
1994,1676743149158.28,1191835000,2921.357668,35.00629416,1406.8584570500782,2.087755311692972e-11,83.4523544436787,2921.357668,1.1302606321559052,11.155826340317859,-6.323808067108015,-0.6282445934550032,5.334034311910773,5.334034311910747
1995,1861735071148.11,1204855000,3009.163414,35.93256416,1545.1942940421131,1.930057864669263e-11,83.74474475578312,3009.163414000001,1.0865091508897418,9.3790485144272,-7.853949110557683,0.349755601705295,2.9613641564645055,2.9613641564645534
1996,2047465483836.55,1217550000,3156.655036,37.95374554,1681.6274352893515,1.8536940348748687e-11,83.1711071223038,3156.6550359999997,1.0481415141216452,8.461237689418597,-4.036956036959281,-0.6873402201386172,4.7850829464423885,4.785082946442345
1997,2237626840759.87,1230075000,3142.331461,38.16119292,1819.0978930226777,1.7054314966583495e-11,82.34363814536646,3142.331461,1.02345002419879,7.857867903400237,-8.33622678558621,-0.9998817561925918,-0.4547906141797894,-0.4547906141797732
1998,2414864610327.86,1241935000,3139.807925,38.209437,1944.4371970577042,1.5822600089705403e-11,82.17362441116313,3139.807925,0.9595504062981507,6.6631861326083595,-7.49639454993005,-0.20668201267473102,-0.08034002369826389,-0.08034002369827115
1999,2601702759078.63,1252735000,3268.474017,39.61323072,2076.8181291962223,1.5225886424484813e-11,82.50965542554971,3268.474016999999,0.8658513929932794,6.586440052024886,-3.844226988837579,0.4080942292103911,4.016158685390969,4.016158685390978
2000,2825096197799.54,1262645000,3308.42236,40.92281008,2237.4429850033384,1.4485457207395156e-11,80.84543445409456,3308.42236,0.7879565929539916,7.449671240037373,-4.9851838621899205,-2.0376206862177026,1.2148232845837226,1.2148232845837414
2001,3059936242478.58,1271850000,3469.506195,42.96631099,2405.89396743215,1.4041570668543355e-11,80.7494549813107,3469.506195,0.7263806378385249,7.258785724046392,-3.1122931600840955,-0.11879024690159097,4.754082954899213,4.75408295489923
2002,3342778183071.46,1280400000,3791.210076,46.91656547,2610.7296025237893,1.403520153015102e-11,80.80749385681747,3791.210076,0.6699995677586258,8.170817694717284,-0.04536944956857739,0.07184943565840442,8.867297248565754,8.867297248565738
2003,3681006926650.74,1288400000,4475.911253,55.03977977,2857.0373538115027,1.495237060585468e-11,81.321387398422,4475.911253,0.6228609361335826,9.015547418382027,6.330128739569867,0.6339342609690121,16.602471355054487,16.60247135505449
2004,4053944733453.66,1296075000,5291.844481,64.27841921,3127.8627652363175,1.5855770967859137e-11,82.32692318881313,5291.844481,0.5939328151121407,9.056475106340779,5.86636767544626,1.2289139333803176,16.74568953027952,16.7456895302795
2005,4518455387849.41,1303720000,6048.951194,73.07484409,3465.817344099508,1.6172527516041377e-11,82.77747656293357,6048.951194,0.5881249895569922,10.25985418538789,1.9780437369902644,0.5457813277062512,13.371804239641378,13.371804239641397
2006,5091154930758.42,1311020000,6629.974082,80.11200056,3883.354129424738,1.5735525956202998e-11,82.75881310733803,6629.974082,0.5583743673730015,11.375075597772875,-2.7393014507280404,-0.022549080581424644,9.171599433836422,9.171599433836413
2007,5811552614974.09,1317885000,7182.29691,87.01715442,4409.757008368781,1.4973133719170147e-11,82.538862111414,7182.296909999999,0.5222718663922753,12.712034125162077,-4.966344603426044,-0.2661273069297994,8.001834081198513,8.00183408119851
2008,6373544042638.01,1324655000,7324.47493,89.5141405,4811.474718049612,1.4044641395927358e-11,81.8247808568301,7324.47493,0.5123869316374399,8.71840435188321,-6.401658207987762,-0.8689096134243618,1.960223462108526,1.9602234621085262
2009,6972829250985.1,1331260000,7654.438134,93.69911071,5237.766665403527,1.3437746334712338e-11,81.69168390178844,7654.438133999999,0.497381400884935,8.489156727128407,-4.417329011698102,-0.16279337329393356,4.406415743021271,4.406415743021307
2010,7711689202853.29,1337705000,8094.553654,99.82079367,5764.865349874068,1.2944089296683114e-11,81.09085648787749,8094.553653999999,0.48295968867836087,9.588659837733765,-3.7428378620012763,-0.7381997368045612,5.590581927606305,5.590581927606289
2011,8441318020902.42,1345035000,8766.089758,108.0773006,6275.909564362578,1.2803367949457493e-11,81.1094439751394,8766.089758,0.5464575948802738,8.493662804456177,-1.0931001618745864,0.022919177449372607,7.969939414911237,7.969939414911236
2012,9104482675356.36,1354190000,8952.163673,111.4948629,6723.194437528234,1.2246150261979159e-11,80.29216270734568,8952.163673,0.6783454588468029,6.884497930383788,-4.449663409554344,-1.0127386831905816,2.100441296485676,2.100441296485665
2013,9812695262900.89,1363240000,9184.862515,115.4566783,7198.068764781617,1.176605154921197e-11,79.55245768576734,9184.862515,0.6660729776900692,6.824935861561348,-3.9993225637369645,-0.9255366869708274,2.5661495885436083,2.5661495885436247
2014,10544908798424.0,1371860000,9202.264131,117.5599942,7686.577929543831,1.1148507440630502e-11,78.2771740813849,9202.264131,0.6303263895418931,6.566291888536561,-5.391277051477921,-1.6160607421568784,0.18928048444368395,0.18928048444365486
2015,11280814787468.9,1379860000,9148.0316,118.5729953,8175.33285077392,1.0511031120882756e-11,77.15105430924372,9148.0316,0.5814561466576482,6.164574983107041,-5.888033849032488,-1.4490797318516098,-0.591082451119411,-0.5910824511194086
2016,12045152668727.3,1387790000,8998.667355,118.5026486,8679.377044601346,9.838202292584232e-12,75.93642388006506,8998.667355000001,0.5730509060696471,5.98283253961372,-6.615228809810499,-1.5868782114388542,-1.6462235755659835,-1.6462235755659858
2017,12875216222853.4,1396215000,9239.287354,122.826441,9221.514038205722,9.539757536808128e-12,75.22229968382784,9239.287354,0.6052450134829686,6.058947943226954,-3.0804930822242964,-0.9448736961978389,2.6388261782877964,2.6388261782877875
2018,13745158275136.7,1402760000,9570.561394,128.4298388,9798.652852331617,9.343642046837234e-12,74.51976490373046,9570.561394,0.4676720534619593,6.070567570582192,-2.0771952699830343,-0.9383334425047759,3.5227109115563433,3.5227109115563415
2019,14579283528148.4,1407745000,9890.945236,134.0469785,10356.480419499554,9.19434608986058e-12,73.78715541879968,9890.945236,0.3547408901708272,5.536753908354132,-1.6107377320016694,-0.9879720277741092,3.2927850387491984,3.292785038749181
2020,14920466234565.3,1411100000,10082.65729,137.9789752,10573.642005928212,9.247631610891143e-12,73.07386705391329,10082.65729,0.23804087022988338,2.0751849908075517,0.5778736985692237,-0.9713863646612961,1.9197131949453585,1.9197131949453627
2021,16199162892908.6,1412360000,10470.89088,145.2345569,11469.570713492736,8.965559384774034e-12,72.09641495453208,10470.89088,0.0892522000412526,8.133320237269036,-3.0976975046728024,-1.3466487179811244,3.7782262146563848,3.778226214656362
2022,16706875253648.5,1412175000,10504.53398,146.5582271,11830.598370349639,8.77233024577676e-12,71.67481613183351,10504.53398,-0.013099501352578351,3.0991753923661522,-2.178802406306429,-0.5864873354438347,0.32078614926330334,0.32078614926330995
2023,17611526369126.6,1410710000,11007.45778,154.6842535,12484.157884417493,8.783125906177273e-12,71.1608165080617,11007.457780000002,-0.10379453158906743,5.37712138023929,0.12298924810490827,-0.7197109474238896,4.676605149331235,4.676605149331241
2024,18488114837769.3,1408975000,11172.8456,158.883353,13121.676990556469,8.59381036921178e-12,70.32105874553139,11172.8456,-0.12306340736399539,4.98051234798634,-2.1790150422223977,-1.1871027616053462,1.4913311367946365,1.4913311367946012
