year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,9737636593624.97,249623000,4971.209525,80.12781327,39009.37250824231,8.228671556962603e-12,62.040998276702375,,,,,,
1991,9727089478755.8,252981000,4923.56811,80.09374659,38449.88152768706,8.234091684354984e-12,61.472565832183534,1.3362607407377944,-1.4446323239000394,0.06584711823611548,-0.9204437776962705,-0.9629682426223967,-0.9629682426224
1992,10069725930661.5,256514000,5005.97074,81.55463256,39256.048132505435,8.098992278595464e-12,61.38180729729965,1.3868856924793524,2.074991016288123,-1.6543414246853023,-0.14774980992938927,1.659785474152764,1.659785474152784
1993,10346824232649.6,259919000,5119.325964,83.10770889,39807.87950342068,8.032194905539426e-12,61.598689608636136,1.3186799997774121,1.3959345263030176,-0.8281815106005967,0.3527104567570957,2.2391434722369334,2.239143472236929
1994,10763700132799.0,263126000,5196.431493,84.772104,40907.018435270555,7.875740029368116e-12,61.29883827113693,1.2262960888682017,2.7236778043225973,-1.9670676503012747,-0.4879706494758866,1.4949355934136286,1.4949355934136377
1995,11052644207040.4,266278000,5228.591522,86.24398434,41507.91356041581,7.80301823929731e-12,60.6255794188184,1.190787090902092,1.458244904921306,-0.9276539675544997,-1.1043984595590874,0.6169795687098063,0.6169795687098107
1996,11469635349338.5,269394000,5408.746529,88.97282506,42575.68969367729,7.757249672731002e-12,60.790994613833384,1.1634116199818907,2.539932865595582,-0.5882764849220448,0.2724756462185599,3.387543646873955,3.387543646873988
1997,11979704707077.8,272657000,5484.096306,89.56933716,43936.905001807405,7.476756677239382e-12,61.22738517316053,1.203960297012721,3.1471201640596664,-3.682874909961445,0.715289648508095,1.3834951996190523,1.3834951996190372
1998,12516770844481.1,275854000,5524.379784,90.41770247,45374.62151892341,7.223724360973422e-12,61.09843131474119,1.1657145264258932,3.2198323812164613,-3.4428439280185303,-0.21083677982407031,0.7318661997997511,0.7318661997997541
1999,13116127034705.4,279040000,5574.13192,92.11297316,47004.469017722906,7.022879003555559e-12,60.51408101134405,1.1483400472905458,3.528973130371086,-2.8197410944922616,-0.9610109839536489,0.8965610992157258,0.8965610992157214
2000,13650948362520.0,282162411,5740.909744,94.50727718,48379.755170577984,6.923129050834218e-12,60.74568980614874,1.1127689967953225,2.8838761945620806,-1.430540602504774,0.3820048065311183,2.948109395383756,2.948109395383747
2001,13781388409036.2,284968955,5652.222118,92.74972309,48361.01676070714,6.730071044887302e-12,60.94058213538111,0.9897413822236687,-0.03873942647160037,-2.8282142357556137,0.3203196100320792,-1.5568926699714352,-1.5568926699714662
2002,14015733659783.6,287625193,5672.18586,93.85390945,48729.15864426243,6.696325124906026e-12,60.436330177826164,0.9277974857103135,0.758354068968902,-0.5026812945861435,-0.8308908984183695,0.3525793616747041,0.3525793616747027
2003,14407558345762.9,290107933,5738.459922,94.13143403,49662.75205498397,6.533475816718312e-12,60.962206526792464,0.8594817128409682,1.89776054424053,-2.461980108997604,0.8663689902249394,1.1616311383088178,1.1616311383088336
2004,14961928297813.8,292805298,5839.319233,96.12519535,51098.55730074188,6.424652854675528e-12,60.747020713336845,0.9254839689434823,2.850106746272382,-1.679648709103743,-0.35360677666714735,1.742335229444971,1.7423352294449737
2005,15483134541390.2,295516599,5873.850357,96.18300959,52393.45131130925,6.212114822930675e-12,61.069521343099,0.9217131671612292,2.502534459304939,-3.3641209753336327,0.5294870101828123,0.5896136613153293,0.5896136613153476
2006,15914268559668.9,298379912,5795.737378,95.3037349,53335.589695022434,5.988571484933066e-12,60.81332892232747,0.9642539171360754,1.7822223910522017,-3.664848879855006,-0.42039187222722774,-1.3387644438939632,-1.3387644438939565
2007,16233167950743.9,301231207,5885.033912,96.94673853,53889.39649517754,5.972139192064315e-12,60.70378437928457,0.9510552427724498,1.0329900602559312,-0.2747713518212121,-0.18029488973296964,1.5289790614741954,1.5289790614741994
2008,16251606759787.8,304093966,5701.345362,94.45684244,53442.71368997766,5.81215407412635e-12,60.35926265078738,0.9458652872825919,-0.8323424989089855,-2.7153931837155576,-0.5691623777884934,-3.171032773130452,-3.1710327731304444
2009,15832884074310.8,306771529,5290.636923,89.59907749,51611.32170877174,5.6590496759447925e-12,59.047895036536275,0.8766512988029338,-3.4869246685244235,-2.669527867216683,-2.196552309604795,-7.476353546542971,-7.476353546542969
2010,16259610790677.0,309378227,5486.192376,92.67334899,52555.76951340212,5.6996043867874996e-12,59.19924590824912,0.8461298658321166,1.8133820846253226,0.7140790263582364,0.2559908901905365,3.629581867006192,3.629581867006212
2011,16513977256911.2,311839461,5337.456654,91.3690941,52956.66303409625,5.532833955052317e-12,58.41643398760588,0.7923943331643498,0.7599018241711903,-2.969661307029087,-1.3311549627606105,-2.748520112454171,-2.748520112454157
2012,16892000920975.5,314339099,5089.500154,89.07254031,53738.14767145941,5.2730603512692755e-12,57.13882343859247,0.7983829013716298,1.4649233785575886,-4.80892477135484,-2.211344840843403,-4.756963332268997,-4.756963332269024
2013,17249744800617.5,316726282,5246.902432,91.46712278,54462.62524124064,5.302520346661922e-12,57.363807590406424,0.7565600834367541,1.3391556773368851,0.5571338810947166,0.39297689376993256,3.0458265356382843,3.0458265356382883
2014,17685097277697.8,319257560,5252.474583,92.43221545,55394.451043533,5.226559628064007e-12,56.82515081380104,0.7960237978091341,1.6964736040027568,-1.442899791220267,-0.9434550934654574,0.10614251712615987,0.10614251712616662
2015,18206020741000.0,321815121,5137.813086,91.55894208,56572.91889960634,5.029047444387947e-12,56.11481488624907,0.7979047133825856,2.1050978969482053,-3.852265541516863,-1.2579166105040314,-2.2071795416901385,-2.2071795416901034
2016,18537270454435.6,324353340,5039.275808,91.15183823,57151.470844837306,4.917220065060289e-12,55.28441231524685,0.7856254856888149,1.0174720440095906,-2.248724791549602,-1.4908863790712328,-1.9365136409224173,-1.9365136409224295
2017,18992846546661.7,326608609,4979.984261,91.074934,58151.702139185494,4.7952229686185665e-12,54.68007543107305,0.6929062525916385,1.735002358416491,-2.5123135901717863,-1.0991602488714232,-1.1835652280350872,-1.1835652280350797
2018,19556270302218.3,328529577,5134.552782,94.41112207,59526.66569871212,4.827665020527498e-12,54.38504139579071,0.5864330751225727,2.3369225098717843,0.6742710682686945,-0.5410249647597819,3.0566016885032776,3.0566016885032696
2019,20061570168697.6,330226227,4982.798677,93.57274293,60750.9898621638,4.664278126943578e-12,53.25053558307612,0.5151085550145329,2.035900095519469,-3.4429838193432682,-2.1081279270340887,-3.000103095843358,-3.0001030958433548
2020,19627632559934.5,331577720,4468.372662,86.21375627,59194.66651720297,4.392468424642636e-12,51.82899870417628,0.40842756675854125,-2.5951930898737317,-6.004172739421092,-2.70580492687792,-10.896743189414202,-10.896743189414202
2021,20816096100824.5,332099760,4755.310256,90.78554882,62680.2503585805,4.361314839260571e-12,52.37959474616744,0.15731740895152332,5.721496649717559,-0.7117772046613543,1.0567289076573225,6.223765761665059,6.22376576166505
2022,21339074561820.0,334017321,4801.927576,92.25154821,63886.13170698414,4.323127881799383e-12,52.052541872456885,0.5757445204945205,1.9055894925468178,-0.8794393562531909,-0.6263473170609474,0.975547339727214,0.9755473397271998
2023,21955252291273.6,336806231,4642.749416,91.19776322,65186.59772441562,4.153801651199778e-12,50.90858867667741,0.8314931877370482,2.0151584789800894,-3.995521152818161,-2.222198347167054,-3.3710678332680883,-3.3710678332680772
2024,22568462768174.3,340110988,4619.121942,91.83211178,66356.17067501007,4.069045939163399e-12,50.299637593720156,0.9764216845054287,1.7782866908903356,-2.061541645177297,-1.2033773419092784,-0.5102106116908137,-0.5102106116908112
